level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,4,2,7,12,1169,1985,37,28,96.756134,of
5,1,4,2,7,13,1227,1985,255,36,95.85881,consecutively
5,1,4,2,7,14,1504,1987,146,29,96.137733,lettered
5,1,4,2,7,15,1672,1987,82,29,93.270485,laws
5,1,4,2,7,16,1778,1996,77,20,92.722717,con-
4,1,4,2,8,0,126,2032,1734,37,-1.0,
5,1,4,2,8,1,126,2032,114,31,96.945778,tained
5,1,4,2,8,2,260,2033,33,28,96.759644,in
5,1,4,2,8,3,315,2032,56,29,96.690453,the
5,1,4,2,8,4,391,2041,92,20,96.650551,same
5,1,4,2,8,5,504,2032,175,31,96.650551,brochure.
5,1,4,2,8,6,715,2032,121,31,96.814957,Unless
5,1,4,2,8,7,856,2033,143,30,96.324265,another
5,1,4,2,8,8,1019,2043,79,26,96.762146,year
5,1,4,2,8,9,1117,2035,27,28,96.744576,is
5,1,4,2,8,10,1164,2033,111,36,96.18541,"given,"
5,1,4,2,8,11,1299,2033,55,30,96.590302,the
5,1,4,2,8,12,1374,2033,186,30,96.283875,references
5,1,4,2,8,13,1582,2037,36,26,96.225395,to
5,1,4,2,8,14,1640,2035,56,29,96.57328,the
5,1,4,2,8,15,1716,2035,144,29,96.178146,various
4,1,4,2,9,0,125,2080,1138,37,-1.0,
5,1,4,2,9,1,125,2080,126,28,93.253609,official
5,1,4,2,9,2,273,2083,148,33,93.121887,gazettes
5,1,4,2,9,3,444,2080,67,28,95.807808,and
5,1,4,2,9,4,531,2080,153,36,96.818016,journals
5,1,4,2,9,5,707,2089,53,20,96.879074,are
5,1,4,2,9,6,784,2080,126,37,96.589386,always
5,1,4,2,9,7,933,2084,34,25,96.636017,to
5,1,4,2,9,8,991,2081,55,30,96.580307,the
5,1,4,2,9,9,1068,2091,80,26,96.650146,year
5,1,4,2,9,10,1172,2088,91,28,95.848206,1935.
2,1,5,0,0,0,617,2219,745,44,-1.0,
3,1,5,1,0,0,617,2219,745,44,-1.0,
4,1,5,1,1,0,617,2219,745,44,-1.0,
5,1,5,1,1,1,617,2219,303,41,94.132088,NATIONAL
5,1,5,1,1,2,951,2220,411,43,94.98407,LEGISLATION.
2,1,6,0,0,0,126,2361,681,31,-1.0,
3,1,6,1,0,0,126,2361,681,31,-1.0,
4,1,6,1,1,0,126,2361,681,31,-1.0,
5,1,6,1,1,1,126,2361,166,30,90.243271,AARGAU:
5,1,6,1,1,2,319,2372,52,20,74.274635,sec
5,1,6,1,1,3,397,2363,227,29,9.052109,Swttzerland:
5,1,6,1,1,4,651,2363,156,29,96.843155,Cantons.
2,1,7,0,0,0,128,2467,444,40,-1.0,
3,1,7,1,0,0,128,2467,444,40,-1.0,
4,1,7,1,1,0,128,2467,444,40,-1.0,
