country,region,text,page
REINO UNIDO,HongKong,"6/1/1983 Ordenanza modificatoria de la ordenanza sobre la indemnizacion de la pneumoco-  niosis. Ordenanza modificatoria de 1983 sobre la indemnizacion de la pneumoconiosis.  (Government Gazette, 7 enero, suplemento legislativo num. 1.)  ",4
REINO UNIDO,HongKong,(149) 5  ,5
SUIZA,,"18/1/1983 Ordenanza por la que se prolonga la duracioén de la indemnizacion otorgada por  el seguro de desempleo en caso de desempleo parcial. (Recueil des lois fédérales —  Sammlung der eidgenéssischen Gesetze, 22 febrero.)  [Art. 1.°: El plazo previsto en el art. 23, parrafo tercero, de la ordenanza de 14 marzo 1977  sobre el seguro de desempleo prorrdgase, de manera que la duracién reducida del trabajo  se reputara duracién normal cuando, durante un periodo de tres afios a contar del primer  dia de desempleo parcial, tenga una duracidn de veinticuatro meses; entrada en vigor: 1.°  enero 1983.]  ",5
UNION DE REPUBLICAS SOCIALISTAS SOVIETICAS,,"26/1/1983 Decreto del Presidium del Soviet Supremo de la URSS por el que se modifican  ciertos textos legislativos de la URSS relativos a las relaciones en el derecho civil, al ma-  trimonio y a la familia, al trabajo y a la seguridad social. (Viedomosti Vierjovnogo Sovieta  SSSR, num. 5.)  [Diversas modificaciones de la legislacién de 1947-1976 sobre el trabajo y la seguridad so-  cial.]  ",5
ZIMBABWE,,— Tercer reglamento modificatorio sobre el empleo en la industria de los transportes.  S.1. 49.  ,5
TRATADOS Y ACUERDOS INTERNACIONALES,ArgeliaRumania,"29/XII/1981 Acuerdo de seguridad social. (Rumania: Colectia de Legi si Decrete, |.° julio-30  sept. 1982, Ill; Argelia: Journal officiel, 15 marzo 1983.)  ",5
TRATADOS Y ACUERDOS INTERNACIONALES,ArgentinaItalia,"3/X1/1981 Convenio de seguridad social, con protocolo adicional. (Italia: Gazzetta Ufficiale,  15 febrero 1983.)  ",5
TRATADOS Y ACUERDOS INTERNACIONALES,AustriaItalia,"21/1/1981 Convenio de seguridad social, con protocolo final. (Italia: ibfd.; Austria: Bundes-  gesetzblatt, 10 junio 1983.)  [Entrada en vigor: |.° julio 1983.]  ",5
TRATADOS Y ACUERDOS INTERNACIONALES,AustriaPaises Bajos,"1/X/1982 Acuerdo complementario del acuerdo de 7 marzo !974 sobre la aplicacién del  convenio de seguridad social. (Paises Bajos: Tractatenblad, 1982, num. 168.)  ",5
TRATADOS Y ACUERDOS INTERNACIONALES,BélgicaPaises Bajos,"12/V11I/1982 Acuerdo en materia de seguro de enfermedad, maternidad e invalidez. (Bélgi-  ca: Moniteur belge — Belgisch Staatsblad, 9 dic. 1982.)  [Deroga, en particular, el acuerdo de 17 nov. 1976 en materia de seguro de enfermedad e  invalidez, relativo al control médico administrativo y a la asistencia administrativa reci-  proca.]  ",5
TRATADOS Y ACUERDOS INTERNACIONALES,ItaliaSuecia,"25/1X/1982 Convenio de seguridad social. (Suecia: Svensk Férfattningssamling, 1982, num.  887.)  ",5
TRATADOS Y ACUERDOS INTERNACIONALES,Paises BajosSuecia,"2/VII/1982 Convenio de seguridad social, con protocolo final. (Paises Bajos: Tractatenblad,  1982, num. 135.)  ",5
TRATADOS Y ACUERDOS INTERNACIONALES,Paises BajosSuecia,"2/V11/1982 Acuerdo administrativo para la aplicacion del convenio de seguridad social.  (Suecia: Svensk Férfattningssamling, 1983, num. 22.)  ",5
TRATADOS Y ACUERDOS INTERNACIONALES,Paises BajosSuecia,Oficina Internacional Serie Legislativa  ,6
